name,brand,model,version,years,fuel,car_type,power,torque,consumption,zero100,speed_max,price_min,price_max,reliability,comfort,fun,pros,cons,ideal,checks,mods,avoid,verdict
Audi A4 2.0 TDI,Audi,A4,2.0 TDI,2012-oggi,Diesel,Utilitaria/Compatta,102,204,5.8,10.6,211,27600,41600,8,7,8,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi A5 2.0 TDI,Audi,A5,2.0 TDI,2012-oggi,Diesel,Utilitaria/Compatta,114,228,6.1,10.2,217,28800,43800,9,8,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi Q2 1.6 TDI,Audi,Q2,1.6 TDI,2012-oggi,Diesel,SUV compatto,126,252,6.4,9.9,223,30000,46000,7,9,5,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi Q3 2.0 TDI,Audi,Q3,2.0 TDI,2012-oggi,Diesel,SUV compatto,138,276,4.0,9.6,229,31200,40200,8,6,6,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi TT 2.0 TFSI,Audi,TT,2.0 TFSI,2012-oggi,Benzina,Utilitaria/Compatta,150,300,4.3,9.2,235,32400,42400,9,7,7,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi S3,Audi,S3,S3,2012-oggi,Benzina,Compatta sportiva,252,504,6.5,6.3,280,41600,52600,7,8,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi A6 3.0 TDI,Audi,A6,3.0 TDI,2012-oggi,Diesel,Utilitaria/Compatta,174,348,5.0,8.5,247,34800,46800,8,9,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi Q5 2.0 TDI,Audi,Q5,2.0 TDI,2012-oggi,Diesel,SUV compatto,186,372,5.4,8.2,253,12000,25000,9,6,5,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes A180d,Mercedes,A180d,A180d,2012-oggi,Diesel,Utilitaria/Compatta,198,396,5.8,7.8,259,13200,27200,7,7,6,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes A200d,Mercedes,A200d,A200d,2012-oggi,Diesel,Utilitaria/Compatta,210,420,6.1,7.5,265,14400,29400,8,8,7,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes CLA 200d,Mercedes,CLA,200d,2012-oggi,Diesel,Utilitaria/Compatta,222,444,6.4,7.2,271,15600,31600,9,9,8,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes C220d,Mercedes,C220d,C220d,2012-oggi,Diesel,Utilitaria/Compatta,90,180,4.0,10.9,205,16800,25800,7,6,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes E220d,Mercedes,E220d,E220d,2012-oggi,Diesel,Utilitaria/Compatta,102,204,4.3,10.6,211,18000,28000,8,7,5,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes GLA 200d,Mercedes,GLA,200d,2012-oggi,Diesel,SUV compatto,114,228,4.7,10.2,217,19200,30200,9,8,6,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes GLC 220d,Mercedes,GLC,220d,2012-oggi,Diesel,SUV compatto,126,252,5.0,9.9,223,20400,32400,7,9,7,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes A35 AMG,Mercedes,A35,AMG,2012-oggi,Benzina,Compatta sportiva,228,456,7.2,7.0,274,29600,42600,8,6,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes C300d,Mercedes,C300d,C300d,2012-oggi,Diesel,Utilitaria/Compatta,150,300,5.8,9.2,235,22800,36800,9,7,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Mercedes B180d,Mercedes,B180d,B180d,2012-oggi,Diesel,Utilitaria/Compatta,162,324,6.1,8.9,241,24000,39000,7,8,5,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Volkswagen Polo 1.0 TSI,Volkswagen,Polo,1.0 TSI,2012-oggi,Benzina,Utilitaria/Compatta,174,348,6.4,8.5,247,18200,34200,8,9,6,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Volkswagen Golf 1.6 TDI,Volkswagen,Golf,1.6 TDI,2012-oggi,Diesel,Utilitaria/Compatta,186,372,4.0,8.2,253,19400,28400,9,6,7,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Volkswagen Golf GTI,Volkswagen,Golf,GTI,2012-oggi,Benzina,Compatta sportiva,288,576,6.1,5.3,280,28600,38600,7,7,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Volkswagen Golf R,Volkswagen,Golf,R,2012-oggi,Benzina,Compatta sportiva,300,600,6.5,4.9,280,29800,40800,8,8,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
